firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,performanceMeasure,performanceMeasurePage,experienceMeasure,experienceMeasurePage
Mango,1995,Revolutionizing maintenance on the space shuttle,Exclude,Violates Criterion 4,,,,,,
BIERINGSORENSEN,1995,A CLINICAL COMPARATIVE INVESTIGATION OF A NONLINEAR VERSUS LINEAR HEARING-AID,Exclude,Violates Criterion 4,,,,,,
GORDINIER,1995,THE EFFECTS OF A COURSE IN CADAVER DISSECTION ON RESIDENT KNOWLEDGE OF PELVIC ANATOMY - AN EXPERIMENTAL-STUDY,Exclude,Violates Criterion 1,,,,,,
MARRAS,1995,THE CLASSIFICATION OF ANATOMIC-BASED AND SYMPTOM-BASED LOW-BACK DISORDERS USING MOTION MEASURE MODELS,Exclude,"Violates Criterion 1, 4",,,,,,
ElZahaar,1996,The value of the continuous passive motion after repair of the rotator cuff tear in athletes (An arthroscopic study),Exclude,"Violates Criterion 1, 4",,,,,,
Stanton,1996,Function of the upper extremities in hereditary multiple exostoses,Exclude,"Violates Criterion 1, 4",,,,,,
ONeill,1996,Objectively assessing nursing practices: A curricular development,Exclude,Violates Criterion 1,,,,,,
Kankaanpaa,1999,"The efficacy of active rehabilitation in chronic low back pain - Effect on pain intensity, self-experienced disability, and lumbar fatigability",Exclude,Violates Criterion 4,,,,,,
Kikoski,1999,Effective communication in the performance appraisal interview: Face-to-face communication for public managers in the culturally diverse workplace,Exclude,Violates Criterion 1,,,,,,
Williamson,1999,"A video-based performance in noise test for measuring audio-visual disability in young school children: test development, with validation by trained teachers, parents and audiometry as relative standards for disability",Exclude,"Violates Criterion 1, 4",,,,,,
Guo,2000,Self-reported and performance-based mobility related to instrumental activities of daily living in women aged 62 years and older. A population study,Exclude,"Violates Criterion 1, 4",,,,,,
Pinson,2000,Health-related quality of life after different types of solid organ transplantation,Exclude,Violates Criterion 4,,,,,,
Gopal,2001,Comparison of two total body irradiation fractionation regimens with respect to acute and late pulmonary toxicity,Exclude,Violates Criterion 4,,,,,,
Landers,2001,"The interrelationship among muscle mass, strength, and the ability to perform physical tasks of daily living in younger and older women",Exclude,"Violates Criterion 1, 4",,,,,,
van Dijk,2002,Wageningen Evaluating Programmes for Analytical Laboratories (WEPAL): A world of experience,Exclude,"Violates Criterion 1, 4",,,,,,
Wanzel,2002,"Teaching technical skills: Training on a simple, inexpensive, and portable model",Exclude,Violates Criterion 1,,,,,,
Birndorf,2002,Teaching the mental status examination to medical students by using a standardized patient in a large group setting,Exclude,"Violates Criterion 1,2",,,,,,
Gerdhem,2003,Bone mass cannot be predicted by estimations of frailty in elderly ambulatory women,Exclude,"Violates Criterion 1, 4",,,,,,
Goodwin,2003,Symptoms related to sleep-disordered breathing in white and Hispanic children - The Tucson Children's Assessment of Sleep Apnea Study,Exclude,Violates Criterion 4,,,,,,
Muller,2003,A framework for benchmarking in CBIR,Exclude,"Violates Criterion 1, 4",,,,,,
Catbas,2003,Nondestructive evaluation of tuned-mass-damper-type vibration absorbers using vibration signatures,Exclude,Violates Criterion 4,,,,,,
Kelly,2005,Electrophysiological and speech perception measures of auditory processing in experienced adult cochlear implant users,Exclude,Violates Criterion 4,,,,,,
Burch,2005,A structured assessment of newly qualified medical graduates,Further Review,,yes,,"Selected clinical tasks were assessed using a 7-station objective structured clinical examination (OSCE) format. Six stations assessed the ability of each candidate to perform tasks considered essential to the provision of basic patient care: phlebotomy; administration of an intramuscular injection of penicillin; bladder catheterisation; female pelvic examination; oral endotracheal intubation, and writing of an outpatient prescription for twice-daily insulin.",724,"All interns (pre-registration house officers [PRHOs])assigned to 2 urban training hospitals in Cape Town,South Africa, were invited to participate in the study.These subjects had just completed their medicaltraining at South African universities, having gradu-ated approximately 3 weeks before the study.",724
Sharpe,2005,"Randomized comparison of standard laparoscopic trainer to novel, at-home, low-cost, camera-less laparoscopic trainer",Exclude,Violates Criterion 1,,,,,,
Freeman,2005,Measures of visual function and time to driving cessation in older adults,Exclude,Violates Criterion 4,,,,,,
Saus,2006,The effect of brief situational awareness training in a police shooting simulator: An experimental study,Further Review,,yes,,"Cardiovascular responses were recorded using an ambulatory monitoring system (AMS; Klaver, de Geus, & de Vries, 1994). The test phase consisted of a simulated scenario for all the participants. After HRV electrodes were placed on the participants, the sequence of 5 min of baseline, preparing for the mission, the execution of the operation, and 5 min of recovery was performed on all participants. Suppression of vagal activity was used as an indication of workload.","8, 9",A total of 40 students (20 men and 20 women) from the first year of training at the Norwegian Police University College participated in the study. The mean age was 24.88 years (range = 20–33). T,7
Orabi,2006,Cochlear implant outcomes and quality of life in the elderly: Manchester experience over 13 years,Exclude,Violates Criterion 4,,,,,,
