firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,experienceMeasure,experienceMeasurePage,performanceMeasure,performanceMeasurePage
Collins,1992,TRAINING ADMINISTRATORS FOR IMPROVED SERVICE DELIVERY TO SMALL FARMERS - EXPERIENCES FROM SOMALIA,Further Review,,yes,,"The sample, which included departmental directors and heads of section of the Ministry and its parastatals, also covered (a) grading, supervision, length of time in position and in the public service; (b) previous positions, experience, (c) education and further training: (d) responsibilities.",1565,A village survey thus assessed the overall quality of the delivery of services and the performance of the administrators/extension workers in achieving the desired objective,1557
Williams,1993,CELL-BASED MANUFACTURING AND MEASURES OF PERFORMANCE,Exclude ,Criterion 4,,,,,,
Posnett,1993,INTRODUCTION OF PERFORMANCE INDICATORS AT THE INSTITUTE OF DEVELOPMENT STUDIES,Exclude ,Criterion 1,,,,,,
Bentler,1993,LONGITUDINAL-STUDY OF HEARING-AID EFFECTIVENESS .2. SUBJECTIVE MEASURES,Exclude ,Criterion 4,,,,,,
Gifford,1994,QUALITY ASSURANCE IN CERVICAL-CANCER SCREENING - RESULTS OF A PROFICIENCY TESTING SCHEME FOR CYTOLOGY LABORATORIES IN THE NORTH-WEST THAMES REGION,Exclude ,Criterion 1,,,,,,
Tucker,1995,PICTURE ARCHIVING COMMUNICATION-SYSTEMS IN THE INTENSIVE-CARE UNIT,Exclude ,Criterion 4,,,,,,
Hsieh,1996,A comparison of performance in added-purpose occupations and rote exercise for dynamic standing balance in persons with hemiplegia,Exclude ,Criterion 4,,,,,,
York,1996,The learning needs of first year surgical residents in the intensive care unit.,Further Review,,yes,,"Nurses, and surgery residents from a Midwestern medical school. Faculty comprised those full and part.-time general surgeons (n = 15) who actively practice in t-he ICUs and have resident coverage with their practice. ICU nurses (n = 118) included in the sample were those who had actively practiced for a minimum of 1 year at one of two community based hospttals affiliated with the university. Nurses were surveyed due to their daily interactions with surgery resi- dents in the ICU. The resident respondents were first through fifth year surgery residents (n = 17) ,who have ro- tated through the KU during their general surgery rotation. First year residents included...",608,"Knowledge items included facts pertaining to the diagnosis and treatment of surgical problems. Skills items assessed psychomotor abilities, com- munication, interpretation of findings, and problem solving abilities. The validity of the questionnaire was established through a critical review by an expert panel asked to verify the accuracy and thoroughness of content...",609
BinShafie,1996,Malaysia's experience in implementing the new performance appraisal system,Exclude ,Criterion 1,,,,,,
Thomas,1996,"Materials-based, imagery-based, and rote exercise occupational forms: Effect on repetitions, heart rate, duration of performance, and self-perceived rest period in well elderly women",Exclude ,Criterion 4,,,,,,
