firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,experienceMeasure,experienceMeasurePage,performanceMeasure,performanceMeasurePage
Collins,1992,TRAINING ADMINISTRATORS FOR IMPROVED SERVICE DELIVERY TO SMALL FARMERS - EXPERIENCES FROM SOMALIA,Exclude,Criterion 1,,,,,,
Williams,1993,CELL-BASED MANUFACTURING AND MEASURES OF PERFORMANCE,Exclude,Criterion 1,,,,,,
Posnett,1993,INTRODUCTION OF PERFORMANCE INDICATORS AT THE INSTITUTE OF DEVELOPMENT STUDIES,Exclude,Criterion 1,,,,,,
Bentler,1993,LONGITUDINAL-STUDY OF HEARING-AID EFFECTIVENESS .2. SUBJECTIVE MEASURES,Exclude,Criterion 1,,,,,,
Gifford,1994,QUALITY ASSURANCE IN CERVICAL-CANCER SCREENING - RESULTS OF A PROFICIENCY TESTING SCHEME FOR CYTOLOGY LABORATORIES IN THE NORTH-WEST THAMES REGION,Exclude,Criterion 1,,,,,,
Tucker,1995,PICTURE ARCHIVING COMMUNICATION-SYSTEMS IN THE INTENSIVE-CARE UNIT,Exclude,Criterion 1,,,,,,
Hsieh,1996,A comparison of performance in added-purpose occupations and rote exercise for dynamic standing balance in persons with hemiplegia,Exclude,Criterion 4,,,,,,
York,1996,The learning needs of first year surgical residents in the intensive care unit.,Exclude,Criterion 3,,,,,,
BinShafie,1996,Malaysia's experience in implementing the new performance appraisal system,Exclude,Criterion 3,,,,,,
Thomas,1996,"Materials-based, imagery-based, and rote exercise occupational forms: Effect on repetitions, heart rate, duration of performance, and self-perceived rest period in well elderly women",Exclude,Criterion 1,,,,,,
Warnock,1997,The effect of health reform on surgical clerks' experience and performance,Exclude,Criterion 1,,,,,,
Davidson,1997,"Affirmative action and other special consideration admissions at the University of California, Davis, School of Medicine",Exclude,Criterion 1,,,,,,
Malloy,1998,A comparison of performance between third-year students completing a pediatric ambulatory rotation on campus vs in the community,Exclude,Criterion 1,,,,,,
Lynch,1998,Learning style influences student examination performance,Exclude,Criterion 1,,,,,,
Mangione-Smith,1998,Assessing the quality of healthcare provided to children,Exclude,Criterion 1 ,,,,,,
Coyle,1998,"The practice of system dynamics: milestones, lessons and ideas from 30 years experience",Exclude,Criterion 1 ,,,,,,
Ciatto,1999,Proficiency test for screening mammography: results for 117 volunteer Italian radiologists,Further Review,,Yes,,"117 Italian radiologists of varying experience (years of practice 0.5–18, average 5.9; mammograms read 500– 51 000, average 13 000",149,"operators had to report the following on a predefined proforma: (a) the progressive number, and (b) the side (right or left) of cases in which they identified abnormalities prompting referral for further diagnostic assessment.",149
Chang,1999,The utility of exercise testing after cardiac transplantation in older patients,Exclude,Criterion 4,,,,,,
Guest,1999,Limitations of student evaluations of curriculum,Exclude,Criterion 1,,,,,,
Brusch ,1999,Businesses without glamour? An analysis of resources on performance by size and age in small service and retail firms,Exclude,Criterion 1,,,,,,
Carter,1999,"Carter-Thomason uterine suspension and positioning by ligament investment, fixation and truncation",Exclude,Criterion 1,,,,,,
Hulsman,1999,Teaching clinically experienced physicians communication skills. A review of evaluation studies,Exclude,Criterion 1,,,,,,
Altman,2000,Worst-case rate-based flow control with an ARMA model of the available bandwidth,Exclude,Criterion 1,,,,,,
Turnbull,2000,Clinical work sampling - A new approach to the problem of in-training evaluation,Exclude,Criterion 1,,,,,,
Pinson,2000,Health-related quality of life after different types of solid organ transplantation,Exclude,Criterion 4,,,,,,
Fiel-Patti,2001,Case studies of children using Fast ForWord,Exclude,Criterion 1,,,,,,
Lazarevic,2002,Adaptation of the gypsy moth to an unsuitable host plant,Exclude,Criterion 4,,,,,,
Zarbo,2002,Q-Tracks - A College of American Pathologists program of continuous laboratory monitoring and longitudinal performance tracking,Exclude,Criterion 1,,,,,,
Legros,2002,The Chilean legacies in health care quality,Exclude,Criterion 1,,,,,,
Barnes,2003,A longitudinal study of cardiorespiratory fitness and cognitive function in healthy older adults,Exclude,Criterion 1,,,,,,
Dorrian,2003,The ability to self-monitor performance during a week of simulated night shifts,Exclude,Criterion 1,,,,,,
Bond,2003,"The role of acceptance and job control in mental health, job satisfaction, and work performance",Exclude,Criterion 1,,,,,,
Jones,2004,A review of crucial developments in the design of high speed machinery for manufacturing applications over the last half century,Exclude,Criterion 4,,,,,,
Lin,2004,Community rehabilitation for older adults with osteoarthritis of the lower limb: a controlled clinical trial,Exclude,Criterion 4,,,,,,
Landon,2004,Comparison of performance of traditional Medicare vs Medicare managed care,Exclude,Criterion 1,,,,,,
Ringsted,2004,Educational impact of in-training assessment (ITA) in postgraduate medical education: a qualitative study of an ITA programme in actual practice,Exclude,Criterion 2,,,,,,
Munz,2004,Ceiling effect in technical skills of surgical residents,Further Review,,Yes,,The study group consisted of 30 junior and senior HSTsfrom two different deaneries.,295,"Participants were asked to carry out a series of benchmodel tasks previously validated (unpublished data). Eachstation was allotted 30 minutes to complete the task. At theend of each of the surgical procedural tasks, participantswere asked to complete a self-assessment score of theirperformance",295-296
Critchley,2004,Evaluation of abnormal uterine bleeding: comparison of three outpatient procedures within cohorts defined by age and menopausal status,Exclude,Criterion 4,,,,,,
Weidner,2004,"Development of standards and criteria for the selection, training, and evaluation of athletic training approved clinical instructors",Exclude,Criterion 3,,,,,,
Hill,2005,Student and preceptor perception of performance in advanced pharmacy practice experiences,Exclude,Criterion 1 ,,,,,,
Nemec,2005,Performance measurement in public administration: Selected theory and experience from Slovakia,Exclude,Criterion 1 ,,,,,,
Waddington,2005,Drug use in English professional football,Exclude,Criterion 2,,,,,,
Fortescue,2005,Comparison of modern steroid-eluting epicardial and thin transvenous pacemaker leads in pediatric and congenital heart disease patients,Exclude,Criterion 4,,,,,,
Parry,2005,A video analysis of how physiotherapists communicate with patients about errors of performance: insights for practice and policy,Exclude,Criterion 3,,,,,,
Niedermier,2006,"The junior medical student psychiatry clerkship: Curriculum, attitudes, and test performance",Exclude,Criterion 2,,,,,,
McDougall,2006,Comparison of basic elements of human performance scores between urologists with various extents of experience,Further Review,,Yes,,145 participants. Group A (57 urology resicency applicants) Group B (8 Post-internshio urology residents) Group C (80 Postgraduate urologists) ,210,"All BEP testing was performed using 13 basic performance resources (BPR) which included visual-information processing speed, visual-spatial immediate-recall capacity, and neuromotor channel capacity.",210
Crowe,2006,The Canadian Society of Clinical Chemists: Highlights of its first 50 years,Exclude,Criterion 1,,,,,,
Green,2006,Residency training as technology matures: A survey of radiology residents' training experiences,Exclude,Criterion 2,,,,,,
Combes,2006,Introduction of the intubating Laryngeal Mask Airway (TM) in a prehospital emergency medical unit,Exclude,Criterion 1,,,,,,
Zubac,2007,Renal cell carcinoma: A clinicopathological follow-up study after radical nephrectomy,Exclude,Criterion 4,,,,,,
Ruffin,2007,Long-term performance of Clarion 1.0 cochlear implant users,Exclude,Criterion 4,,,,,,
Nunes,2007,The rise of independent regulation in health care,Exclude,Criterion 1,,,,,,
